,Value
44594,26.6
53991,14.0
5124,16.0
68886,41.2
65615,13.1
44980,13.4
123540,47.5
14778,7.1
37113,39.2
50169,25.0
43586,24.5
76005,35.9
123214,71.1
51457,14.0
48019,11.4
56566,15.1
69635,42.3
115303,25.0
79900,37.1
96802,14.8
22600,38.0
123295,35.0
96263,18.9
1181,17.0
82453,38.0
57714,11.5
25110,15.6
100012,29.1
35814,20.6
54840,25.0
117728,13.1
9243,16.0
69077,28.0
123022,104.0
133064,38.1
40699,23.5
110532,27.5
49068,24.3
108758,45.0
19363,38.5
18281,29.8
107221,23.9
46694,8.4
13687,10.1
112690,60.0
78551,34.8
26685,30.5
36576,30.0
4684,6.9
79753,22.8
1543,17.4
131842,19.0
11795,16.0
51145,23.5
135418,21.8
22677,44.5
116052,50.0
10702,13.8
136408,23.3
114062,73.8
73877,40.6
129159,26.0
124417,44.0
101769,40.0
134700,61.9
120051,33.5
9652,15.0
129863,40.4
32831,22.0
71161,52.5
33634,33.3
98385,21.1
97710,30.8
110096,40.8
124247,52.8
85892,47.8
2730,24.3
80627,31.9
34284,28.0
5330,3.0
123578,34.9
118430,24.0
72752,22.3
18775,43.0
91196,35.0
14192,20.3
48688,21.0
55306,22.8
68303,28.0
76014,42.5
19350,33.0
58008,9.0
93456,29.0
22771,30.0
119774,28.0
102858,44.0
41022,20.5
101760,49.0
92633,41.2
118035,63.9
97368,19.0
45630,20.5
50490,14.3
83526,49.8
28884,23.0
121454,76.2
59789,18.0
6772,5.8
48581,22.9
23278,35.0
92039,24.1
1257,14.3
8642,21.6
43244,24.0
40758,19.9
11401,11.2
76785,23.7
75974,36.7
88112,31.5
92453,37.0
130267,43.4
95705,29.8
47909,9.5
71339,49.1
43146,28.4
27953,15.0
121556,36.0
124163,60.0
135254,24.0
23995,19.0
39829,40.6
52523,20.0
45930,26.2
53702,33.1
96939,30.0
104862,26.6
8754,26.2
49099,14.1
117128,64.0
122634,39.0
100123,21.0
29908,23.0
118367,26.9
3311,20.0
29221,22.0
31240,28.0
53114,10.2
85407,37.0
58500,10.6
88154,26.4
49075,21.0
50774,11.0
123649,23.3
50606,19.3
110473,36.0
4448,8.2
82713,42.5
72435,17.2
53038,19.2
21840,37.0
135544,65.0
112558,44.4
70967,50.0
31254,29.0
131922,38.0
60858,16.5
130351,34.3
115835,41.0
16876,37.0
91693,18.3
62290,30.0
70358,25.3
88678,25.8
40107,11.0
10687,23.1
36843,26.0
444,14.1
16611,20.0
63214,24.0
114523,62.0
74925,27.0
55773,18.6
88535,28.9
117964,32.5
110289,14.0
60313,8.2
14475,9.8
80824,37.0
126077,30.8
108389,28.8
94480,39.0
101708,52.0
101656,33.6
119850,52.0
120118,22.6
54430,20.7
93244,24.2
66594,68.3
8368,13.0
57448,14.0
121600,58.0
47986,7.4
40802,16.7
49108,11.8
121068,52.4
135552,77.0
65783,23.2
91366,31.6
94586,44.2
36946,29.2
22628,46.6
22546,42.0
70257,15.6
128105,20.0
21220,29.9
125038,70.5
129406,52.4
104947,48.0
65337,12.3
56346,26.5
133822,56.8
25300,30.6
80182,39.0
80698,31.3
36614,35.0
130422,34.6
33364,25.0
78915,31.2
19055,16.0
56207,15.9
93790,14.3
81655,16.1
31614,24.1
101420,34.0
102891,34.0
103334,27.8
8199,26.0
88162,32.0
8400,20.0
91221,39.0
114474,20.1
58830,21.9
41626,28.0
92864,25.4
32926,34.0
97871,31.9
54680,21.6
137251,37.0
82780,54.0
46470,11.6
45927,19.9
127881,69.0
114549,54.9
17031,34.6
43718,7.2
77244,40.7
138142,38.6
76453,28.5
102912,48.0
15942,14.8
65014,46.6
47204,19.0
112243,78.0
33732,18.6
98855,37.1
125354,35.1
138275,40.0
52583,25.0
22590,32.0
81992,37.0
72302,30.8
76430,38.9
8876,15.8
91086,32.2
14573,24.1
30252,10.0
49813,29.3
27139,25.5
61159,9.4
69795,36.5
105344,12.6
44209,21.2
2838,7.2
76445,30.4
92821,27.6
74833,34.0
20365,40.0
85789,34.6
92367,29.3
13805,23.0
48010,15.0
1274,16.4
10659,20.8
117383,40.0
90195,34.0
100631,29.0
134834,24.3
40612,17.2
61323,27.4
127822,67.0
67269,35.1
66489,64.0
12915,11.9
130325,47.5
74087,39.0
49779,18.0
62952,24.3
43196,25.1
34646,28.0
27959,15.0
104966,32.0
109607,68.3
23714,26.0
13544,13.5
110149,49.0
125068,69.4
133123,24.5
37565,20.0
107208,37.6
55094,14.0
9691,9.4
53898,14.1
109002,13.5
75360,41.0
50089,14.0
93363,32.0
78264,21.9
27750,31.0
100882,31.0
47715,14.0
111125,52.1
66627,42.2
104263,47.0
92223,29.5
71855,9.4
121076,48.2
22214,35.0
110320,20.0
122703,39.0
19342,30.5
73079,55.7
71214,53.1
118541,60.0
63411,25.1
12958,20.0
89512,20.0
