,Value
28353,34.7
30392,32.1
25947,30.0
75629,82.7
69074,27.0
119013,53.9
122390,63.9
112091,18.5
58317,18.0
130666,39.6
41808,25.0
105936,33.0
79650,25.3
88544,35.4
116749,41.5
58424,21.0
41735,15.0
17838,26.5
47883,24.3
116454,22.1
96854,21.3
10642,17.7
114454,55.7
12235,13.3
71738,30.0
75691,52.0
49171,20.0
50670,10.0
51688,23.4
106732,12.8
75766,63.3
72244,30.0
122824,42.0
101949,34.0
139404,30.0
36482,33.5
32830,23.5
48726,22.0
4202,17.7
134313,49.2
64564,36.5
43081,31.0
62105,55.0
67863,25.8
100421,28.8
9768,23.5
26866,30.3
23487,21.7
21502,33.5
1874,10.7
139207,35.8
93349,28.5
34295,30.4
17234,37.5
112529,53.0
100573,22.2
40629,23.8
39495,21.5
13659,12.7
58813,22.7
42000,27.8
15049,13.6
100923,26.5
14198,17.4
111563,40.0
107753,49.8
31279,41.0
871,7.6
91437,19.1
50534,23.1
62419,49.0
66444,84.7
13647,9.5
100928,25.7
95697,47.9
113772,44.0
10552,4.5
44502,30.0
105329,14.3
138946,19.5
21335,25.0
82103,27.5
137322,15.0
11756,20.0
95730,43.6
108198,40.5
99467,27.2
96036,35.0
46302,18.9
49000,22.1
2600,13.4
126747,38.0
115827,44.0
11443,10.4
58653,22.0
88919,33.0
12455,15.4
14611,13.3
132415,27.5
89014,12.1
63697,14.2
25640,9.0
2290,20.0
95974,27.6
58402,10.0
100103,28.0
103130,21.4
55031,16.0
41048,19.5
131004,25.0
119683,31.7
18542,50.8
71941,37.7
66814,43.2
62249,44.4
356,6.0
100902,19.2
12233,14.6
112822,29.5
68495,60.0
2113,15.0
91686,28.4
48538,25.0
1735,19.1
95373,38.6
109414,58.0
82099,31.4
8636,19.3
111571,29.0
630,8.0
101471,12.0
69803,31.0
41785,24.0
84918,29.5
61836,30.5
102376,43.0
95719,33.2
31902,28.0
79621,23.5
65452,41.8
104743,47.2
45063,11.6
133323,31.5
4124,18.0
30648,26.0
19655,42.0
98085,16.0
64740,50.8
4860,8.9
15484,12.1
108269,50.0
101594,17.5
28684,24.5
24865,29.0
113047,22.0
82556,47.5
58382,19.0
105831,40.0
131140,13.6
106093,34.8
34068,15.0
116079,45.2
30225,12.4
5828,10.3
68736,44.0
51346,19.0
55459,10.3
70351,18.7
116496,49.6
44505,31.0
107333,27.0
106735,14.6
92418,27.9
32011,28.7
115054,38.8
52830,25.0
136739,40.6
231,12.6
129100,25.0
2691,2.1
115667,67.4
114146,50.0
67714,33.1
73745,34.0
112318,54.0
71080,57.5
99464,26.3
49255,10.0
53885,15.1
126499,39.7
103186,21.0
19644,32.9
94154,66.0
118570,59.0
129099,22.2
86647,30.0
119002,74.4
88321,30.0
85851,47.4
108481,22.0
133901,39.2
103367,11.0
107830,19.0
56763,25.3
89116,10.0
82056,23.6
22776,25.0
73775,39.5
49762,14.0
116475,24.9
45911,26.6
80122,86.0
55262,18.8
103291,13.7
119343,45.0
65051,12.6
18091,31.0
95806,22.7
98468,29.0
17706,27.0
98488,30.0
107931,50.0
94693,39.3
133160,47.0
126901,27.8
53198,12.5
83991,40.8
89889,41.8
128972,38.6
48977,25.4
101854,40.8
99754,22.0
107447,54.0
52128,10.5
113717,50.0
17311,25.0
68141,13.6
95372,33.7
51648,20.8
137907,51.0
69946,23.1
106774,37.0
60903,15.0
97212,35.1
19835,32.4
129909,36.4
53221,24.2
6399,9.0
80131,77.0
116576,23.7
115981,36.7
78337,43.5
117937,26.1
67193,39.0
132895,24.0
117971,32.3
22954,22.3
83186,38.0
123925,32.5
74445,38.0
17319,28.0
49277,5.0
120055,44.9
96651,38.0
118392,32.2
15922,15.8
126543,41.1
34407,21.0
86603,32.0
53343,10.4
53916,16.0
107106,25.0
33733,16.8
117594,46.0
124978,19.3
13604,11.2
123639,45.8
10986,20.0
129121,45.6
129914,35.2
118914,49.0
72421,28.5
57441,16.0
59797,14.0
811,17.4
89780,38.0
3796,9.7
122271,59.4
31303,30.2
132087,42.7
92315,33.6
56756,24.8
135808,45.0
76123,31.0
122874,43.9
134759,47.9
89996,25.3
78807,35.1
67952,30.0
55125,17.0
80714,15.2
136806,49.3
80532,47.9
56533,15.5
116120,44.8
10529,8.6
48517,17.0
111122,43.1
80173,46.0
1630,4.4
66700,30.0
34430,29.0
49763,15.0
8245,24.0
110703,51.0
136747,33.0
40726,22.0
4720,27.8
114043,55.4
5128,11.0
120184,21.0
9284,16.0
119229,80.0
24422,29.2
109884,69.1
95633,18.2
96995,45.9
35615,22.4
88645,26.7
47135,24.0
43669,12.9
83389,39.4
121728,58.0
11792,21.0
13586,10.0
122946,38.3
93786,25.1
33928,32.0
34730,31.0
128407,38.5
78219,25.7
114295,55.0
88164,40.2
74415,33.0
99869,34.4
132178,36.0
108785,32.0
83184,40.0
121852,37.6
88422,39.0
44918,18.9
19019,38.0
86496,26.1
54386,18.9
139473,31.1
34653,29.0
100408,26.2
32338,21.5
130748,30.8
92991,25.7
97673,25.2
207,18.2
133661,85.4
93592,30.0
26113,35.0
101103,34.0
117485,52.0
49421,13.5
5527,11.6
78391,34.0
86747,38.7
107201,19.5
40835,34.5
131225,48.7
51228,19.0
19471,26.5
7863,11.0
77529,42.0
25212,36.0
51777,16.0
40116,17.0
120464,40.0
137610,40.0
137188,31.7
135421,24.0
50398,12.5
346,17.0
92759,29.3
43305,10.0
44634,20.0
14950,12.7
134522,27.5
12409,15.0
113477,35.7
12550,25.0
116517,46.8
89341,25.2
136545,32.0
521,14.8
2267,11.9
50384,12.5
104042,41.0
27058,21.6
117980,40.2
31892,20.1
79570,23.8
34829,28.1
98586,13.0
33745,14.1
68857,39.3
1625,20.2
61176,18.4
38726,31.5
104495,34.0
130687,65.5
137930,58.0
3534,14.3
33016,27.7
101043,29.2
37939,21.5
2839,7.9
64985,50.6
66018,40.0
33453,35.6
73393,40.0
3062,15.0
120105,0.0
63003,45.0
78250,33.8
89737,46.0
97878,30.9
81958,37.3
53727,24.0
61460,18.9
113019,41.4
62857,21.5
127268,35.0
28128,25.7
83055,38.3
70110,39.0
83546,38.1
38182,20.0
54961,24.2
86206,32.2
95812,26.4
113778,34.5
131261,68.0
2758,19.1
63542,21.5
12917,10.9
116055,43.6
76046,33.0
115389,75.0
115149,27.1
122834,46.1
65428,59.2
5351,6.0
7135,18.0
70733,41.9
91589,36.3
99788,43.8
60398,17.6
49936,22.3
112364,58.0
99345,38.0
107405,26.0
27604,21.0
51130,18.0
86173,28.7
92404,27.1
30493,23.4
50862,13.0
62344,29.4
27796,43.0
28572,20.1
64468,22.0
119463,46.3
26888,16.2
114843,28.8
35803,18.3
28528,12.5
117740,30.9
51987,15.0
134874,40.0
26870,22.8
38183,21.0
137892,61.0
135910,51.1
136257,52.0
102386,37.0
38305,26.1
87904,42.5
24466,27.2
133820,41.6
115121,25.7
94827,23.5
43698,5.2
137639,25.0
752,13.0
84968,36.0
37196,17.8
15855,11.7
119773,33.0
117685,42.7
88082,28.4
13682,7.6
43018,39.2
97010,39.9
53853,29.3
54927,21.0
134764,27.2
48886,17.7
74326,74.7
136125,27.0
32305,17.6
81616,26.7
134667,41.7
47272,16.3
117001,47.0
91004,18.2
101065,26.0
120567,55.0
127992,25.4
108145,41.9
129669,57.0
108627,53.2
116296,24.1
107311,37.5
134473,29.6
23214,23.1
108162,19.2
85751,27.1
60793,16.8
40804,13.8
22640,47.7
124745,23.3
74236,41.0
55792,16.2
19336,35.8
124408,41.0
34619,32.0
111290,35.5
82260,26.0
35108,24.9
62834,24.3
88692,31.6
138179,38.8
13740,7.9
5805,20.8
128416,36.0
35562,19.6
9622,10.6
74932,23.3
135091,19.5
58138,8.5
92898,28.6
67402,34.0
95287,29.7
123535,50.3
4104,20.0
52118,16.6
844,7.1
63663,22.7
10607,12.8
62785,37.6
52002,12.0
113460,22.2
126203,20.0
19889,34.7
98470,30.0
42310,25.3
77297,24.7
63654,28.9
70444,58.9
95652,23.0
93712,8.3
93206,24.9
132035,40.0
127384,16.9
118339,42.9
93287,25.8
121885,27.5
138896,32.0
112479,33.0
53133,21.4
103346,25.0
112761,52.9
72574,39.0
134984,36.0
17879,28.1
56738,23.5
106021,38.0
119137,45.0
99111,25.4
89738,43.0
68874,44.2
72209,44.1
104963,29.7
97318,32.0
119867,56.0
117433,30.0
108735,29.0
87224,80.5
54586,25.0
56520,14.6
60122,16.6
77163,38.0
21629,33.0
55627,25.8
72281,31.4
111539,40.5
73383,32.0
99540,37.5
26981,34.0
104977,16.5
2129,15.0
135063,36.0
41760,15.0
100790,32.0
82139,30.8
110488,77.3
118662,46.0
2140,21.0
107876,45.0
52621,16.4
115697,36.0
111093,47.4
118364,31.3
36995,28.3
90057,38.2
121729,49.0
26493,17.0
35540,22.5
50251,15.7
81963,37.6
24514,26.0
2169,20.0
6430,5.0
326,7.0
36610,31.0
90976,31.4
90148,37.0
46043,21.0
25017,21.3
88929,33.0
131723,46.0
2162,18.0
121450,67.9
90910,30.9
88099,37.2
20468,26.0
101424,30.0
136127,31.9
61786,39.0
16489,27.0
69510,23.5
32517,26.0
28957,25.0
70775,35.0
94187,29.0
77701,37.0
42232,14.5
87617,30.0
6438,6.0
112535,46.0
106449,31.0
6548,6.0
2366,6.0
51189,22.0
6979,3.4
81533,22.4
54644,14.2
66538,53.0
11750,21.0
48699,18.0
88525,40.5
110273,20.0
61075,22.0
85273,45.8
62980,40.0
109970,20.0
64988,47.8
10225,9.0
27419,31.0
31485,20.5
120393,86.3
97000,41.9
105915,26.7
1469,12.1
67291,30.4
94759,28.0
67362,41.9
104237,40.0
103397,11.8
37759,18.7
87504,41.0
75030,21.6
63534,21.3
101965,25.3
9145,13.0
14382,9.3
6369,12.0
107712,60.0
74079,33.0
69222,42.4
95775,25.2
1834,10.7
106512,36.0
23474,45.0
16955,46.0
17499,31.1
38106,45.1
64345,66.0
98867,35.0
109017,108.0
8569,18.2
42521,11.0
104313,28.0
15043,14.0
44933,23.4
26251,26.0
90473,30.0
138671,15.5
17340,20.2
118495,39.0
124687,42.1
24866,30.0
126948,19.6
2557,9.8
1972,15.5
58608,10.0
93372,30.7
50107,11.0
20790,38.0
78382,39.0
132423,38.0
33657,32.0
118893,70.0
40113,16.0
124262,29.4
54850,24.0
107255,18.1
112421,35.0
9951,25.6
83219,30.0
125928,41.0
29751,26.0
40069,38.0
57184,23.3
115123,38.1
78758,31.9
94841,25.7
39960,25.2
112260,55.0
51736,24.1
137527,29.1
24398,28.0
94783,31.5
46073,20.0
104236,40.0
82923,44.3
108794,26.0
3086,17.0
79058,38.0
8516,14.3
102319,27.2
96594,26.5
13618,13.7
530,19.7
124992,24.7
60707,16.0
60160,21.4
108184,26.2
63588,18.9
61408,10.4
99568,45.6
86353,37.9
85734,31.0
80593,40.0
77731,56.0
33849,32.8
128091,31.0
80366,47.0
53369,27.0
95675,41.4
120058,45.8
25811,9.5
128531,45.5
46607,16.0
17137,30.0
54656,10.0
4141,11.0
36605,29.0
54360,16.5
127209,39.0
29717,19.0
72993,53.9
58142,13.8
46709,7.3
134474,31.6
27768,29.0
111411,32.6
45233,13.6
126878,34.0
79265,27.8
107632,56.0
115514,60.3
21642,33.0
52666,17.4
90739,42.0
131324,60.0
32765,19.0
24762,20.0
26906,33.0
53000,12.9
105334,8.6
136736,33.2
30100,21.5
57989,12.5
73399,44.0
119115,37.0
130577,28.3
121044,49.0
100482,25.6
79642,17.0
36043,18.1
120059,38.6
53161,17.1
107819,36.0
138036,32.9
136431,33.8
125312,42.0
33537,36.2
118112,37.5
37017,26.5
45983,18.3
135564,85.0
128870,54.0
56604,18.0
11574,12.9
25299,34.5
137910,41.0
109353,25.0
13587,9.0
52603,17.4
92751,36.0
6559,15.5
65187,65.0
91298,27.8
29219,27.0
70946,38.7
125715,76.0
94094,23.2
89824,55.7
111452,69.0
85812,41.7
102239,29.2
98544,20.8
49642,17.6
135135,30.8
29204,30.0
19231,31.6
6443,8.0
135570,75.7
2887,2.5
103122,18.5
88078,28.2
112224,74.8
137956,40.0
60368,9.8
89048,21.4
125765,32.5
22508,33.2
36927,19.0
73763,30.0
118422,35.5
83101,41.7
114216,50.0
18993,20.0
87712,30.7
138237,41.9
51257,17.0
117496,38.7
130264,40.4
80063,39.0
54408,14.0
86709,37.4
48311,15.9
72230,32.2
118944,67.3
22488,19.1
25636,13.0
32170,23.9
118733,33.0
80771,37.0
43736,26.9
134472,37.0
58601,20.0
108733,22.0
62379,39.4
35344,23.6
41321,27.0
8238,30.0
112812,27.9
61365,14.6
11026,19.0
108826,56.0
62225,56.6
21512,26.7
136585,32.0
106889,28.0
41606,25.0
76425,39.1
12241,16.1
100808,30.0
103949,41.1
134843,83.5
78258,36.6
31239,23.0
84474,16.3
83949,39.0
69559,18.6
132258,38.7
47182,27.0
31723,21.7
7680,10.6
135858,31.0
85383,40.6
27779,34.0
79258,36.7
56564,14.1
12402,10.9
273,5.0
47977,8.1
46834,22.1
93627,40.0
76401,42.4
5219,16.3
1276,13.3
92475,25.5
97420,46.4
26497,21.1
76606,51.1
90489,44.0
135176,39.7
71130,41.6
58996,21.5
34927,15.0
88989,20.0
84899,27.0
115585,47.0
90060,31.1
32116,24.0
94726,33.6
92866,22.2
74349,17.0
96026,35.0
40904,5.2
28343,19.2
10609,9.4
116129,44.8
125687,49.0
41024,20.5
110088,51.8
120144,17.0
75755,46.0
46086,22.0
2367,5.0
55457,10.5
33752,14.0
20368,30.0
82297,36.0
60966,7.0
17368,28.1
55949,13.0
124192,66.0
37176,36.7
1141,19.0
78986,55.0
19707,23.2
49448,10.0
26865,25.8
120094,37.5
37457,31.9
11863,3.0
6444,4.0
123946,38.0
72891,37.5
76549,34.1
136422,33.3
57440,12.0
72292,33.6
123526,46.8
139541,37.5
109754,53.0
138761,43.9
135101,29.6
111192,45.4
27870,27.9
105959,40.0
95669,33.8
3098,10.0
66901,44.0
128072,18.0
52734,18.0
15442,7.2
120845,44.0
93668,36.0
120431,31.0
138157,33.0
56735,18.1
27137,17.6
19543,40.2
76616,40.3
138476,36.6
121795,23.9
55419,11.2
95699,47.3
88688,44.9
90014,37.1
10769,7.9
76969,74.5
58451,13.0
44863,18.8
111672,40.8
138501,26.0
23141,35.9
54003,16.0
115675,55.0
117369,45.0
71125,34.7
7563,12.2
66659,66.3
86793,26.5
52426,12.0
118720,29.0
85949,36.5
113491,25.7
125255,28.8
6616,20.2
108645,33.7
10490,8.7
104203,41.9
79778,34.4
2312,12.0
98381,28.4
82541,32.5
6037,10.6
75071,14.9
119141,45.0
63436,25.8
22240,25.0
108069,50.8
11435,8.3
137212,29.2
111673,59.6
94947,17.0
124714,56.1
63281,86.1
52392,20.0
72207,49.8
23305,37.9
86003,40.2
15808,7.8
135009,36.0
10866,11.9
122977,54.2
67901,36.6
24359,34.0
119201,46.7
112179,35.0
133335,40.2
139040,23.3
19747,24.0
138754,29.7
93853,11.4
46382,26.1
110624,65.9
59204,6.5
119040,40.0
116412,32.0
47639,21.1
31442,25.0
21747,8.7
89285,34.3
73338,60.0
125449,28.1
85160,34.0
41542,23.2
59725,25.1
129986,43.1
50580,32.3
69472,24.1
113765,29.5
86566,31.0
24610,17.9
128333,40.7
106862,31.3
96322,30.0
60730,30.0
57264,19.0
10751,10.9
47425,10.0
129180,17.2
8818,27.0
33460,28.0
37573,18.6
104921,42.0
102384,43.0
139425,34.9
44037,15.6
138290,47.0
88634,33.6
7711,7.9
62801,45.8
99046,18.0
92594,43.3
63201,50.0
54302,10.4
113622,61.0
137120,24.0
131024,40.0
23517,23.4
84449,18.5
43248,21.0
89959,45.3
42399,11.6
119948,45.9
6225,17.0
126516,34.4
115115,26.8
85380,40.7
96988,41.9
104099,52.0
40038,31.7
121915,18.0
30280,26.3
59969,22.3
30539,20.3
17108,32.0
93755,18.8
63285,78.5
107002,18.0
19601,27.1
17074,38.0
11219,10.3
94589,57.5
76933,34.0
86794,24.3
62239,61.5
17140,31.0
87845,31.0
42465,13.0
53290,23.9
67913,38.0
23498,29.3
101399,42.0
105605,36.0
87706,29.5
23392,35.0
137456,52.9
56054,19.0
118021,63.0
73681,53.0
5733,12.2
101786,44.9
115136,15.3
7738,7.0
54427,26.5
54888,27.0
9904,11.5
63262,25.9
77730,54.5
100065,28.0
10302,17.0
71310,30.5
11588,9.3
87565,35.7
84404,10.0
50108,8.0
115036,25.4
129029,49.0
17420,28.0
28255,35.1
101584,27.2
100800,30.0
129193,17.1
44747,31.3
128431,47.6
19772,50.0
50640,13.1
124310,56.0
63471,34.0
7698,9.4
124981,20.8
45120,7.5
70742,64.4
89115,10.0
51304,21.6
3196,21.5
94252,60.0
138604,41.3
40467,18.4
124823,35.3
1341,9.0
100944,23.6
112492,33.0
69064,28.4
48709,11.0
82745,45.0
17542,28.8
34953,30.8
113837,41.0
57871,19.2
12982,10.0
63223,27.7
85080,43.9
59282,12.6
87699,30.6
11844,18.0
109933,18.5
33990,26.0
2539,11.4
138112,44.3
107802,21.0
41745,32.0
47197,13.0
130817,42.0
2376,5.0
114100,49.0
18996,37.0
11009,17.0
84423,30.5
76498,34.7
20497,29.0
115102,12.9
113400,25.8
45587,20.5
90168,40.0
86804,20.6
112400,35.1
38496,27.2
12600,20.0
88667,40.0
130153,51.0
96586,24.0
52587,24.0
529,17.9
43891,11.7
126840,28.7
60132,15.0
132328,38.7
129098,20.7
11002,16.0
107601,41.5
60385,10.3
107777,62.2
57892,16.5
59964,11.7
131819,50.9
112501,26.0
131375,52.5
49047,17.5
116347,61.5
125390,26.7
93241,18.8
82758,58.0
134776,22.0
62197,44.7
72521,40.0
91308,19.4
14814,18.9
97759,19.4
109679,58.6
72625,27.0
22304,23.5
57469,12.0
3285,17.0
71271,36.9
53054,14.8
46833,15.3
24399,40.0
98682,13.0
104912,49.0
67417,71.0
65236,53.0
40751,26.5
10869,14.1
30075,19.5
122842,50.2
110725,59.0
125032,53.3
60273,8.6
66795,29.6
132739,38.0
67896,36.4
105301,6.0
14395,8.9
138659,30.7
92794,27.4
52670,17.5
655,12.8
71023,61.0
20945,28.0
25202,32.0
47313,14.9
123457,46.0
64844,25.9
33932,37.0
39873,40.0
88732,38.2
81645,37.5
108168,26.0
134798,35.4
77398,45.0
80722,18.8
125705,66.0
78662,40.3
84835,36.0
50539,22.8
118919,48.0
5217,18.7
67725,19.3
116093,26.3
84511,15.7
9576,19.0
96046,38.0
35815,15.6
1700,4.2
31354,26.6
79289,32.5
54890,27.0
67861,23.3
110811,49.0
119979,42.4
87234,26.5
18518,18.0
104618,37.0
1830,10.7
26192,28.4
13556,11.9
90570,32.5
34084,28.0
63520,41.0
60686,23.0
108703,37.0
11660,14.0
67380,49.4
136076,29.7
137329,17.0
122605,40.0
48793,15.7
111255,46.8
97622,29.9
61504,7.5
112611,46.0
55659,12.7
130896,34.0
68489,75.0
118288,53.0
11032,18.0
10767,11.4
12459,13.3
122607,40.0
193,14.9
69658,40.4
43317,7.0
80761,37.0
132731,23.8
138178,42.0
116379,64.9
38134,20.0
20774,44.0
110734,87.9
24460,32.3
66591,58.3
29299,17.0
63551,15.0
1287,12.0
67021,33.3
105274,9.5
133458,56.6
93308,30.0
136608,34.3
139045,37.9
124343,40.0
94085,24.7
4178,15.8
61105,18.1
93090,9.0
83511,38.2
55140,18.5
37095,33.9
60292,9.3
132607,29.8
22673,33.1
69890,36.4
68534,22.0
56977,14.5
62367,26.1
91240,31.0
95874,30.0
80669,39.4
17071,28.0
42247,17.0
123891,59.4
17861,29.1
60710,16.0
6302,13.5
64891,47.0
110283,20.0
78748,35.2
10513,9.2
14662,10.2
75006,29.7
5483,9.8
65490,40.4
14325,19.1
23699,24.0
127312,42.3
74784,33.7
89127,29.4
6563,12.6
60757,18.0
97355,22.0
21873,27.4
45974,20.8
19667,30.0
121065,47.6
112048,55.0
79183,43.3
28569,20.2
28570,20.2
109180,79.0
42438,31.5
67203,45.8
124278,36.2
97213,33.2
92384,27.9
50499,12.3
54962,20.3
23097,38.9
85252,41.7
62074,61.0
124838,41.1
12216,13.4
137200,36.0
134833,29.5
48942,16.3
110864,43.0
128844,81.0
123422,37.3
82347,40.5
5130,22.0
81409,50.0
93830,25.0
106778,39.0
115551,49.0
17446,32.0
82800,47.0
133691,54.0
88628,25.5
43979,10.8
8749,2.2
100179,42.1
56602,13.9
73091,70.9
23083,38.1
112301,51.0
48375,13.0
103632,30.0
37147,31.8
2258,17.9
54231,17.6
70157,30.0
41793,11.0
23326,37.5
49319,10.5
8701,4.0
82181,67.0
17780,30.0
27683,28.5
25827,28.0
108626,49.2
134444,35.7
59140,13.8
68966,25.9
98668,13.7
69461,31.5
36831,30.9
49219,15.8
22818,15.1
11647,15.0
109156,73.0
134445,33.9
27181,31.7
48973,17.5
112322,56.0
68531,29.0
67664,29.2
94807,29.1
17680,28.1
130954,47.0
122546,38.0
27394,31.0
69479,22.2
3521,15.4
126356,46.0
84341,40.2
78342,34.0
64534,35.8
93324,29.3
133696,58.0
80794,42.0
105804,37.3
88527,37.6
101979,36.0
74159,41.0
23494,22.8
113446,39.9
71400,30.0
110767,63.8
50450,7.3
74479,25.4
47353,12.0
77379,22.4
29205,30.0
122816,47.1
37013,24.3
61435,9.3
3187,20.5
74850,40.0
9462,15.2
73599,35.4
51773,18.4
88033,24.9
89435,28.8
94845,25.9
69641,35.6
129939,49.6
128186,28.6
42679,23.3
26099,35.0
126362,36.0
45433,18.6
41054,27.0
46601,24.7
1622,21.0
109985,20.0
88986,12.3
83084,32.1
51319,20.9
63228,25.5
79306,34.2
64519,41.3
39051,24.0
108983,49.4
96014,33.0
130405,33.0
11054,13.0
116417,32.6
57229,12.0
68756,35.0
77705,42.0
66217,37.0
51255,16.0
27682,37.0
45744,22.0
112778,57.4
100513,26.0
108654,26.7
117703,57.1
109348,27.0
11258,18.5
15303,11.9
2175,15.0
18402,22.0
119734,79.5
137164,24.0
11227,6.9
50067,10.0
37027,21.2
129931,39.5
59070,21.5
59936,10.0
62994,50.0
29574,25.0
125015,54.5
115694,44.0
45421,18.5
75184,71.5
8669,5.6
122104,50.0
1845,12.8
33885,28.3
130978,35.4
109214,66.0
1766,22.4
68905,28.3
38241,25.4
18374,29.0
105200,39.0
21347,27.8
16636,39.1
134533,29.7
80662,29.3
123616,43.7
101484,29.9
67189,42.4
38425,18.0
24474,27.2
95646,26.9
41536,48.9
125105,44.0
115670,53.9
2561,12.0
46616,20.0
21945,29.0
6806,21.2
73063,38.0
29146,20.0
74122,41.2
110671,54.0
103117,24.3
113747,62.9
12567,20.0
14016,17.5
105705,49.1
88362,12.8
3119,23.0
107630,53.0
103331,20.2
750,9.4
14670,10.0
12941,16.4
78879,26.7
2484,12.0
86789,22.4
118834,65.5
123857,42.3
139243,36.9
20988,19.0
14970,13.7
123527,52.0
133850,50.4
118707,26.5
27136,30.4
112866,60.0
50399,19.9
27977,22.0
28480,21.7
69120,39.0
125999,40.8
100579,27.3
113288,63.6
45197,28.8
1894,3.7
48639,20.4
76662,27.4
71405,40.0
126852,28.2
51729,26.0
88487,30.0
65275,46.0
87722,30.9
46671,20.0
81514,30.5
33693,19.0
6549,6.0
119715,65.9
43484,18.4
10969,25.0
86651,33.9
78071,48.0
4513,15.0
19720,29.3
68792,43.0
29705,25.0
55626,26.8
113893,32.6
104286,37.0
11777,9.0
62890,24.5
59474,12.0
53819,24.2
56077,20.0
103996,34.8
83994,44.9
94241,51.0
126440,41.0
99107,25.6
131095,21.2
137410,43.0
48595,21.8
90648,42.9
25642,23.0
81566,43.0
17082,36.0
505,16.6
101705,43.0
100122,12.4
139439,28.4
34776,23.7
134424,22.1
64470,28.7
83512,39.9
78271,25.6
25302,28.7
120532,66.9
110196,28.0
71898,43.5
79951,32.4
42827,6.0
138557,29.0
116611,30.8
76407,30.7
23438,45.0
108126,35.1
104092,46.0
1653,11.0
85150,38.0
25484,22.0
36608,35.0
86759,36.0
132899,28.0
134668,38.0
45411,13.3
43840,16.4
97690,19.1
25294,26.0
73097,67.2
28044,28.0
19366,38.0
20983,22.0
82551,34.0
12532,22.0
60523,25.2
41715,23.8
6261,19.7
108429,52.8
37240,26.5
85194,51.0
60724,30.0
117730,11.2
75818,36.5
105293,37.0
132776,42.0
111128,40.0
72628,23.0
59202,8.8
40672,30.5
90058,34.8
106875,33.3
52355,21.0
101501,14.0
1388,10.0
117742,24.3
71403,39.0
93574,15.1
65060,9.4
121286,60.0
85882,48.4
21364,26.4
48004,28.0
39120,10.0
130285,46.1
121553,34.5
23990,27.0
108137,35.4
117188,72.0
98081,22.7
110180,22.0
114445,53.6
84811,34.0
90116,35.0
31677,28.0
19555,24.9
133596,40.0
133963,42.5
132655,40.0
15297,14.8
58874,11.4
114522,47.3
93204,21.7
18312,34.5
31643,23.0
15929,13.7
3243,14.3
128362,36.6
49990,17.1
120591,62.0
35750,10.8
67866,29.1
127304,16.0
70738,35.0
2571,10.3
32142,27.2
129823,53.5
107803,27.0
33760,17.5
120078,26.0
25030,18.0
21535,23.8
96368,28.0
127989,25.3
109181,61.0
90606,31.7
23649,15.4
77273,37.3
122376,49.0
80516,41.4
30417,30.0
84419,23.5
134659,45.0
56070,26.0
37381,20.5
102483,43.0
44928,24.7
26635,28.0
139665,36.1
72655,47.7
43859,19.5
869,9.6
34863,16.0
121548,30.0
14842,8.5
68360,27.1
23086,35.4
96446,22.5
48355,27.0
124773,39.0
20472,29.0
18879,40.5
109854,14.4
70750,85.1
89060,10.8
125351,40.2
4826,8.4
52397,25.0
95378,35.3
98677,13.1
114384,57.1
11589,9.1
132569,35.0
85283,52.9
117417,32.0
5532,17.1
6556,11.1
100900,28.8
76403,34.0
43060,30.0
97770,26.8
40405,30.0
76484,43.5
103833,36.0
68961,33.5
119556,30.7
93717,23.0
76796,23.5
81852,20.0
27878,45.9
27992,19.0
72277,23.1
87685,25.0
75084,41.5
133450,38.0
44542,27.4
98402,18.6
123673,26.9
7308,10.2
112228,90.9
101756,46.0
138187,42.0
44910,24.1
73710,34.0
123211,52.6
115406,22.0
74480,28.5
3257,16.4
33360,26.9
91906,29.7
44695,5.0
99063,17.0
32788,21.0
47958,11.3
67964,41.0
73548,35.1
132096,50.0
44600,29.3
37491,27.6
227,12.2
51379,22.0
126284,55.0
7191,23.0
21432,33.9
129960,35.6
119519,35.0
9190,20.0
117358,44.0
14048,15.1
131628,70.2
33593,21.1
110862,40.0
71392,33.0
76870,42.6
40816,16.9
90143,39.0
137944,31.0
57478,8.0
63327,43.0
11714,17.0
88251,26.3
123186,69.3
135961,37.1
52569,17.0
62359,37.7
136474,22.2
73355,34.0
21281,31.8
116958,37.0
23607,42.4
57961,18.0
118920,51.0
88899,40.0
123600,35.8
70832,28.9
94548,42.0
15864,6.8
2468,19.0
86165,20.0
112442,42.0
98230,17.7
62666,30.0
97837,36.0
3729,18.6
15589,9.4
127860,44.0
118119,26.0
136187,22.0
15363,9.1
17704,21.9
111857,15.0
5595,13.4
134947,33.6
107454,22.0
120287,47.0
26798,30.0
128522,29.8
73121,39.5
30720,47.8
109494,76.0
69439,38.5
11543,12.5
74307,30.5
107481,34.0
128192,43.2
65737,55.0
33675,28.8
138718,41.1
7653,16.9
1168,12.0
15409,8.7
90596,36.3
84910,26.0
11793,14.0
23689,18.0
98166,41.7
91810,32.0
89158,32.5
10446,13.0
15701,11.1
49647,20.0
7705,12.8
115829,48.0
13468,10.1
136038,31.5
90413,31.0
15663,20.9
70286,22.5
136875,23.8
4307,15.0
8142,22.0
94849,28.7
118876,68.0
111939,66.0
68513,28.0
55664,9.0
12383,10.1
6204,17.0
23722,26.0
53012,20.8
119156,62.0
104825,29.7
67624,45.0
51929,27.6
10558,7.5
83615,13.3
14899,13.0
109682,29.2
73686,46.2
64951,40.1
88462,27.0
